3,RETIRO
5,ADUANA
6,DERECHO
7,PLAZA ROMA
8,PLAZA ITALIA
9,PARQUE LEZAMA
10,OBELISCO
15,CONGRESO
16,PARQUE LAS HERAS
17,UCA PUERTO MADERO
18,TRIBUNALES
19,PLAZA VICENTE LOPEZ
20,ONCE
21,PACIFICO
22,VIRREY CEVALLOS
23,PLAZA HOUSSAY
24,PLAZA DE MAYO
25,PLAZA ALMAGRO
26,CMD
27,INDEPENDENCIA
28,PLAZA SAN MARTIN
30,DISTRITO AUDIOVISUAL
32,PARQUE PATRICIOS
33,ARENALES
34,SUIPACHA
35,ALSINA
36,EMMA DE LA BARRA
37,PLAZA GUEMES
